name,place_type,lat,lon,cost,address,nearby_wifi
MARLBOROUGH PLACE PARKETTE,park,43.6793043689045,-79.3944270033659,free,100 Marlborough Ave,False
LOGAN AVENUE PARKETTE,park,43.6786456301726,-79.3503775949123,free,916 Logan Ave,False
OLYMPIA PARK,park,43.7041444108952,-79.4900854279754,free,50 Olympia Dr,False
LYNEDOCK PARK,park,43.7623052666383,-79.3313406210611,free,29 Lynedock Cres,False
BRATTY PARK,park,43.7573494096024,-79.4959786920388,free,40 Bratty Rd,False
SILVER CREEK PARK,park,43.6827011188454,-79.5434038311754,free,44 Strathdee Dr,False
CARLAW AVENUE PARKETTE,park,43.6792990934975,-79.3469806626057,free,805 Carlaw Ave,False
WYCHWOOD BARNS PARK,park,43.6797030716251,-79.4236963301444,free,76 Wychwood Ave,False
HAWKSBURY PARK,park,43.7708575541057,-79.3830617524566,free,1 A Hawksbury Dr,False
FRANK FAUBERT WOOD LOT,park,43.772025305579,-79.2553616466349,free,185 Borough Dr,False
CLARINDA PARK,park,43.7745204108076,-79.3692024247918,free,31 A Clarinda Dr,False
PARKVIEW PARK,park,43.7748750427602,-79.3937634575892,free,355 Parkview Ave,False
REAN PARK,park,43.7658276351026,-79.3812026218283,free,7 Rean Dr,False
LYNNGATE PARK,park,43.7769666607788,-79.2996313156108,free,133 Cass Ave,False
SANDOVER PARK,park,43.7607992253483,-79.334108821812,free,10 Sandover Dr,False
DUNCAN MILL GREENBELT,park,43.7602330567156,-79.3484035386963,free,100 Moatfield Dr,False
58 CURZON STREET PARK,park,43.6648415854447,-79.3324514725014,free,58 Curzon St,False
HOLLIS KALMAR PARK,park,43.6939762467253,-79.2716254579454,free,146 Kalmar Ave,False
DENTONIA PARK,park,43.6936797661395,-79.2929017260679,free,80 Thyra Ave,False
AILSA CRAIG PARKETTE,park,43.7754471632516,-79.4481721774611,free,16 Ailsa Craig Crt,False
BENNER PARK,park,43.7068902699135,-79.4403256037396,free,25 Benner Ave,False
GRAYDON HALL PARK,park,43.7629563031471,-79.3420432298223,free,215 Graydon Hall Dr,False
DUNLACE PARK,park,43.7627551760035,-79.3684971094416,free,28 Dunlace Dr,False
NOBLE PARK,park,43.6772297481904,-79.5012384961313,free,74 Sandcliff Rd,False
APTED PARK,park,43.7554261997557,-79.5773737310684,free,50 Apted Ave,False
THREE VALLEYS PARK,park,43.7505973406638,-79.3394444920332,free,82 Three Valleys Dr,False
174 SOUDAN AVENUE PARK,park,43.7057468204495,-79.3917593413284,free,174 Soudan Ave,False
LITHUANIA PARK,park,43.6587479549092,-79.4630029009203,free,155 Oakmount Rd,True
