HOOD_158,NEIGHBOURHOOD_158,OCC_YEAR,MCI_CATEGORY,count
002,Mount Olive-Silverstone-Jamestown (2),2019,Theft Over,7
002,Mount Olive-Silverstone-Jamestown (2),2020,Assault,203
002,Mount Olive-Silverstone-Jamestown (2),2020,Auto Theft,85
002,Mount Olive-Silverstone-Jamestown (2),2020,Break and Enter,18
002,Mount Olive-Silverstone-Jamestown (2),2020,Robbery,31
002,Mount Olive-Silverstone-Jamestown (2),2020,Theft Over,8
002,Mount Olive-Silverstone-Jamestown (2),2021,Assault,222
002,Mount Olive-Silverstone-Jamestown (2),2021,Auto Theft,75
002,Mount Olive-Silverstone-Jamestown (2),2021,Break and Enter,17
002,Mount Olive-Silverstone-Jamestown (2),2021,Robbery,48
002,Mount Olive-Silverstone-Jamestown (2),2021,Theft Over,3
002,Mount Olive-Silverstone-Jamestown (2),2022,Assault,263
002,Mount Olive-Silverstone-Jamestown (2),2022,Auto Theft,120
002,Mount Olive-Silverstone-Jamestown (2),2022,Break and Enter,25
002,Mount Olive-Silverstone-Jamestown (2),2022,Robbery,53
002,Mount Olive-Silverstone-Jamestown (2),2022,Theft Over,18
002,Mount Olive-Silverstone-Jamestown (2),2023,Assault,282
002,Mount Olive-Silverstone-Jamestown (2),2023,Auto Theft,152
002,Mount Olive-Silverstone-Jamestown (2),2023,Break and Enter,24
002,Mount Olive-Silverstone-Jamestown (2),2023,Robbery,54
002,Mount Olive-Silverstone-Jamestown (2),2023,Theft Over,13
002,Mount Olive-Silverstone-Jamestown (2),2024,Assault,331
002,Mount Olive-Silverstone-Jamestown (2),2024,Auto Theft,84
002,Mount Olive-Silverstone-Jamestown (2),2024,Break and Enter,29
002,Mount Olive-Silverstone-Jamestown (2),2024,Robbery,42
002,Mount Olive-Silverstone-Jamestown (2),2024,Theft Over,11
002,Mount Olive-Silverstone-Jamestown (2),2025,Assault,192
002,Mount Olive-Silverstone-Jamestown (2),2025,Auto Theft,73
002,Mount Olive-Silverstone-Jamestown (2),2025,Break and Enter,14
002,Mount Olive-Silverstone-Jamestown (2),2025,Robbery,28
002,Mount Olive-Silverstone-Jamestown (2),2025,Theft Over,6
003,Thistletown-Beaumond Heights (3),2009,Assault,4
003,Thistletown-Beaumond Heights (3),2013,Assault,2
003,Thistletown-Beaumond Heights (3),2014,Assault,61
003,Thistletown-Beaumond Heights (3),2014,Auto Theft,10
003,Thistletown-Beaumond Heights (3),2014,Break and Enter,22
003,Thistletown-Beaumond Heights (3),2014,Robbery,20
003,Thistletown-Beaumond Heights (3),2014,Theft Over,1
003,Thistletown-Beaumond Heights (3),2015,Assault,59
003,Thistletown-Beaumond Heights (3),2015,Auto Theft,15
003,Thistletown-Beaumond Heights (3),2015,Break and Enter,23
003,Thistletown-Beaumond Heights (3),2015,Robbery,24
003,Thistletown-Beaumond Heights (3),2015,Theft Over,3
003,Thistletown-Beaumond Heights (3),2016,Assault,48
003,Thistletown-Beaumond Heights (3),2016,Auto Theft,15
003,Thistletown-Beaumond Heights (3),2016,Break and Enter,23
003,Thistletown-Beaumond Heights (3),2016,Robbery,16
003,Thistletown-Beaumond Heights (3),2016,Theft Over,1
003,Thistletown-Beaumond Heights (3),2017,Assault,61
003,Thistletown-Beaumond Heights (3),2017,Auto Theft,23
003,Thistletown-Beaumond Heights (3),2017,Break and Enter,17
003,Thistletown-Beaumond Heights (3),2017,Robbery,24
003,Thistletown-Beaumond Heights (3),2017,Theft Over,5
003,Thistletown-Beaumond Heights (3),2018,Assault,53
003,Thistletown-Beaumond Heights (3),2018,Auto Theft,44
003,Thistletown-Beaumond Heights (3),2018,Break and Enter,16
003,Thistletown-Beaumond Heights (3),2018,Robbery,11
003,Thistletown-Beaumond Heights (3),2018,Theft Over,1
003,Thistletown-Beaumond Heights (3),2019,Assault,74
003,Thistletown-Beaumond Heights (3),2019,Auto Theft,52
003,Thistletown-Beaumond Heights (3),2019,Break and Enter,14
003,Thistletown-Beaumond Heights (3),2019,Robbery,10
003,Thistletown-Beaumond Heights (3),2019,Theft Over,5
003,Thistletown-Beaumond Heights (3),2020,Assault,59
003,Thistletown-Beaumond Heights (3),2020,Auto Theft,45
003,Thistletown-Beaumond Heights (3),2020,Break and Enter,11
003,Thistletown-Beaumond Heights (3),2020,Robbery,9
003,Thistletown-Beaumond Heights (3),2020,Theft Over,4
003,Thistletown-Beaumond Heights (3),2021,Assault,58
003,Thistletown-Beaumond Heights (3),2021,Auto Theft,43
003,Thistletown-Beaumond Heights (3),2021,Break and Enter,8
003,Thistletown-Beaumond Heights (3),2021,Robbery,6
003,Thistletown-Beaumond Heights (3),2021,Theft Over,3
003,Thistletown-Beaumond Heights (3),2022,Assault,59
003,Thistletown-Beaumond Heights (3),2022,Auto Theft,56
003,Thistletown-Beaumond Heights (3),2022,Break and Enter,17
003,Thistletown-Beaumond Heights (3),2022,Robbery,16
003,Thistletown-Beaumond Heights (3),2022,Theft Over,1
003,Thistletown-Beaumond Heights (3),2023,Assault,63
003,Thistletown-Beaumond Heights (3),2023,Auto Theft,52
003,Thistletown-Beaumond Heights (3),2023,Break and Enter,23
003,Thistletown-Beaumond Heights (3),2023,Robbery,12
003,Thistletown-Beaumond Heights (3),2023,Theft Over,14
003,Thistletown-Beaumond Heights (3),2024,Assault,73
003,Thistletown-Beaumond Heights (3),2024,Auto Theft,36
003,Thistletown-Beaumond Heights (3),2024,Break and Enter,23
003,Thistletown-Beaumond Heights (3),2024,Robbery,9
003,Thistletown-Beaumond Heights (3),2024,Theft Over,3
003,Thistletown-Beaumond Heights (3),2025,Assault,41
003,Thistletown-Beaumond Heights (3),2025,Auto Theft,25
003,Thistletown-Beaumond Heights (3),2025,Break and Enter,8
003,Thistletown-Beaumond Heights (3),2025,Robbery,11
003,Thistletown-Beaumond Heights (3),2025,Theft Over,4
004,Rexdale-Kipling (4),2013,Theft Over,1
004,Rexdale-Kipling (4),2014,Assault,53
004,Rexdale-Kipling (4),2014,Auto Theft,13
004,Rexdale-Kipling (4),2014,Break and Enter,17
004,Rexdale-Kipling (4),2014,Robbery,14
004,Rexdale-Kipling (4),2014,Theft Over,1
004,Rexdale-Kipling (4),2015,Assault,58
004,Rexdale-Kipling (4),2015,Auto Theft,11
004,Rexdale-Kipling (4),2015,Break and Enter,17
004,Rexdale-Kipling (4),2015,Robbery,14
004,Rexdale-Kipling (4),2015,Theft Over,1
004,Rexdale-Kipling (4),2016,Assault,75
004,Rexdale-Kipling (4),2016,Auto Theft,23
004,Rexdale-Kipling (4),2016,Break and Enter,16
004,Rexdale-Kipling (4),2016,Robbery,15
004,Rexdale-Kipling (4),2017,Assault,93
004,Rexdale-Kipling (4),2017,Auto Theft,25
004,Rexdale-Kipling (4),2017,Break and Enter,14
004,Rexdale-Kipling (4),2017,Robbery,30
004,Rexdale-Kipling (4),2017,Theft Over,1
004,Rexdale-Kipling (4),2018,Assault,76
004,Rexdale-Kipling (4),2018,Auto Theft,58
004,Rexdale-Kipling (4),2018,Break and Enter,18
004,Rexdale-Kipling (4),2018,Robbery,23
004,Rexdale-Kipling (4),2018,Theft Over,4
004,Rexdale-Kipling (4),2019,Assault,56
004,Rexdale-Kipling (4),2019,Auto Theft,53
004,Rexdale-Kipling (4),2019,Break and Enter,13
004,Rexdale-Kipling (4),2019,Robbery,21
004,Rexdale-Kipling (4),2019,Theft Over,2
004,Rexdale-Kipling (4),2020,Assault,50
004,Rexdale-Kipling (4),2020,Auto Theft,43
004,Rexdale-Kipling (4),2020,Break and Enter,19
004,Rexdale-Kipling (4),2020,Robbery,14
004,Rexdale-Kipling (4),2020,Theft Over,1
004,Rexdale-Kipling (4),2021,Assault,49
004,Rexdale-Kipling (4),2021,Auto Theft,41
004,Rexdale-Kipling (4),2021,Break and Enter,28
004,Rexdale-Kipling (4),2021,Robbery,10
004,Rexdale-Kipling (4),2021,Theft Over,2
004,Rexdale-Kipling (4),2022,Assault,58
004,Rexdale-Kipling (4),2022,Auto Theft,59
004,Rexdale-Kipling (4),2022,Break and Enter,21
004,Rexdale-Kipling (4),2022,Robbery,13
004,Rexdale-Kipling (4),2022,Theft Over,9
004,Rexdale-Kipling (4),2023,Assault,79
004,Rexdale-Kipling (4),2023,Auto Theft,77
004,Rexdale-Kipling (4),2023,Break and Enter,16
004,Rexdale-Kipling (4),2023,Robbery,24
004,Rexdale-Kipling (4),2023,Theft Over,4
004,Rexdale-Kipling (4),2024,Assault,93
004,Rexdale-Kipling (4),2024,Auto Theft,43
004,Rexdale-Kipling (4),2024,Break and Enter,24
004,Rexdale-Kipling (4),2024,Robbery,25
004,Rexdale-Kipling (4),2024,Theft Over,1
004,Rexdale-Kipling (4),2025,Assault,58
